title,author,star5,star4,star3,star2,star1
"Data Analyses: Detailed, Scientific, and Business-Oriented Data Reading Skills","Benjamin Farrar,  and , Ryan Simpson",0%,0%,0%,0%,0%
"Introduction to Algorithms, 3rd Edition (The MIT Press)","Thomas H. Cormen, Charles E. Leiserson, et al.",78%,10%,6%,2%,4%
Data Analysis with Microsoft Power BI,Brian Larson,47%,18%,11%,14%,10%
Escape from Model Land: How Mathematical Models Can Lead Us Astray and What We Can Do About It,Erica Thompson,100%,0%,0%,0%,0%
"Mastering pandas: A complete guide to pandas, from installation to advanced data analysis techniques, 2nd Edition",Ashish Kumar,51%,37%,13%,0%,0%
Excel Tips & Tricks (Quick Study Computer),Inc. BarCharts,72%,16%,8%,2%,3%
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,Paul Houghton,73%,13%,14%,0%,0%
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs,"Soheil Bakhshi,  and , Christian Wade",80%,20%,0%,0%,0%
Data Visualization: A Practical Introduction,Kieran Healy,78%,12%,8%,1%,1%
Geographic Data Science with Python (Chapman & Hall/CRC Texts in Statistical Science),"Sergio Rey, Dani Arribas-Bel, et al.",0%,0%,0%,0%,0%
Bayesian Data Analysis for the Behavioral and Neural Sciences,Todd E. Hudson,34%,33%,33%,0%,0%
Root Cause Analysis,Matthew A. Barsalou,56%,15%,6%,12%,10%
"The Analysis of Biological Data, Second Edition","Michael C. Whitlock,  and , Dolph Schluter",74%,14%,8%,1%,4%
Multiple Imputation of Missing Data in Practice: Basic Theory and Analysis Strategies (Chapman & Hall/CRC Interdisciplinary Statistics),"Yulei He, Guangyu Zhang, et al.",0%,0%,0%,0%,0%
"Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7, 3rd Edition",Joel Lawhead,61%,18%,11%,5%,5%
The Ultimate Guide To Understanding NFTs,Steve Nico Williams,0%,0%,0%,0%,0%
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises),Codeone Publishing,87%,7%,1%,2%,3%
Qualitative Data Analysis: An Introduction,Carol Grbich,72%,15%,7%,7%,0%
Microsoft Excel Data Analysis and Business Modeling (Business Skills),Wayne Winston,75%,12%,9%,2%,2%
Applied Categorical and Count Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),"Wan Tang, Hua He, et al.",0%,0%,0%,0%,0%
"The Data Revolution: A Critical Analysis of Big Data, Open Data and Data Infrastructures",Rob Kitchin,100%,0%,0%,0%,0%
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,Vince Buffalo,74%,17%,5%,3%,1%
Big Data Analysis with Python: Combine Spark and Python to unlock the powers of parallel computing and machine learning,"Ivan Marin, Ankit Shukla, et al.",68%,32%,0%,0%,0%
Be Data Literate: The Data Literacy Skills Everyone Needs To Succeed,Jordan Morrow,63%,19%,4%,10%,4%
